Position[nm]  Index[]
-70    0
-65.9091    1
-61.8182    2
-57.7273    3
-53.6364    4
-49.5455    5
-45.4545    6
-41.3636    7
-37.2727    8
-33.1818    9
-29.0909    10
-25    11
-21    12
-19    13
-17    14
-15    15
-13    16
-11    17
-9    18
-7    19
-5    20
-3    21
-1    22
1    23
3    24
5    25
7    26
9    27
11    28
13    29
15    30
17    31
19    32
21    33
24.96    34
28.92    35
32.88    36
36.84    37
40.8    38
44.76    39
48.72    40
52.68    41
56.64    42
60.6    43
64.56    44
68.52    45
72.48    46
76.44    47
80.4    48
84.36    49
88.32    50
92.28    51
96.24    52
100.2    53
104.16    54
108.12    55
112.08    56
116.04    57
120    58
