Position[nm]  Index[]
-70    0
-60    1
-50    2
-40    3
-30    4
-20    5
-18.0435    6
-16.087    7
-14.1304    8
-12.1739    9
-10.2174    10
-8.26087    11
-6.30435    12
-4.34783    13
-2.3913    14
-0.434783    15
1.52174    16
3.47826    17
5.43478    18
7.3913    19
9.34783    20
11.3043    21
13.2609    22
15.2174    23
17.1739    24
19.1304    25
21.087    26
23.0435    27
25    28
27    29
31.8333    30
36.6667    31
41.5    32
46.3333    33
51.1667    34
56    35
60.8333    36
65.6667    37
70.5    38
75.3333    39
80.1667    40
85    41
